F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,alphaRatioV_sma3nz_amean,hammarbergIndexV_sma3nz_amean,jitterLocal_sma3nz_amean,logRelF0-H1-A3_sma3nz_amean,loudness_sma3_meanRisingSlope,loudness_sma3_percentile80.0,loudness_sma3_stddevNorm,shimmerLocaldB_sma3nz_amean,slopeUV500-1500_sma3nz_amean
29.83047,28.72973,30.17338,30.85651,646.3593,0.3249485,1550.87,0.126075,2500.281,0.07107731,4.219126,-5.188235,12.89388,0.01431546,10.76235,16.05901,1.511839,0.5680631,1.253685,-0.01906202
30.89663,28.35832,30.55809,33.88512,685.0899,0.3385917,1588.07,0.1374461,2528.104,0.06213024,5.607422,-11.23037,19.12591,0.02954912,20.67074,13.42651,1.792031,0.3858888,1.406653,-0.01234125
29.47271,27.51849,29.60771,31.40253,569.35,0.2495256,1535.629,0.1337396,2487.014,0.07161682,6.476795,-17.20459,28.66656,0.0328526,26.81134,20.64627,2.2004,0.5468955,1.037913,-0.009939224
32.91063,30.50637,32.73838,34.79676,542.2524,0.2951745,1497.924,0.1563559,2454.478,0.09481782,7.934342,-16.46242,29.13539,0.03300128,26.63402,2.892279,0.3612513,0.6661929,1.075844,0.003166609
23.38547,21.66545,23.01248,24.84745,517.3573,0.2818288,1509.202,0.1458109,2446.498,0.07552212,4.378078,-17.62964,24.78828,0.03368976,27.45454,4.833983,0.5573782,0.4798626,1.401127,-0.0018018
29.35529,26.4623,28.35779,31.85217,733.2728,0.265883,1607.304,0.1231642,2512.201,0.05315974,5.283936,-12.65693,22.38939,0.04536971,18.8203,12.05987,1.659793,0.5629284,0.9607716,-0.01339755
27.12054,24.32391,26.47548,28.99881,631.7316,0.351008,1558.834,0.1470904,2483.458,0.07826064,4.015594,-8.924841,16.87343,0.03328658,17.51274,6.296853,0.6369082,0.595556,1.40259,-0.0008506936
21.55879,17.22478,23.79767,25.033,569.3214,0.3050998,1556.646,0.166698,2509.662,0.1221453,3.199071,-23.32531,33.2971,0.04921233,24.07289,7.755511,1.192443,0.5377637,1.585654,-0.01300806
23.9325,23.30271,24.04169,24.46329,549.6551,0.2563268,1486.236,0.1242195,2426.088,0.05527662,3.824583,-15.28848,24.27985,0.02212946,24.91667,4.016664,0.6098383,0.3976311,1.428923,-0.0130796
39.96475,38.78994,40.30879,41.72705,669.936,0.2402299,1556.906,0.1063823,2543.712,0.06174947,9.617899,-11.01742,20.06701,0.0179959,23.37758,20.37204,1.74143,0.4257769,0.9677805,-0.009897638
29.75093,27.33517,29.57184,31.27991,662.3756,0.2210729,1589.759,0.09374054,2537.288,0.05586575,4.288392,-9.873107,17.99548,0.02546495,9.850372,4.174153,0.5218163,0.774866,1.47311,-0.01567654
25.61057,22.76872,23.39152,27.90372,728.5273,0.2144735,1606.665,0.09872872,2504.996,0.05394173,1.978167,-10.69726,20.00375,0.07440189,18.60171,4.331189,0.9551872,0.2943771,1.71925,-0.01537184
27.50441,24.61433,25.93246,32.23481,671.6888,0.3128659,1580.758,0.1140576,2457.008,0.05931073,3.742899,-10.59723,20.13964,0.02076651,17.87227,11.37435,1.907244,0.3195404,1.381806,-0.01884996
28.76223,26.05371,28.88147,31.94467,542.283,0.2652051,1517.805,0.1154427,2404.497,0.06008246,6.321577,-14.24549,20.29403,0.03173782,22.10303,13.55729,2.221336,0.4547108,1.004878,-0.00215092
24.76969,23.16068,24.38399,25.75602,629.9717,0.2278379,1560.362,0.1262326,2542.158,0.08192577,4.362742,-17.80529,28.89151,0.03353669,30.90038,5.068151,0.6429078,0.4277563,1.205894,-0.01569974
23.24363,22.58261,22.99018,23.68263,583.0621,0.2635294,1498.903,0.140073,2442.217,0.1012659,4.53555,-14.87664,26.80343,0.02369627,25.23191,4.486947,0.4246088,0.4771534,1.679309,-0.001688993
20.09953,19.57459,20.18404,20.63019,510.7116,0.2243157,1452.077,0.1437694,2407.798,0.08317424,3.772954,-21.33816,30.82818,0.03374382,28.10937,1.509519,0.2458273,0.5683255,1.340305,-9.572912e-05
32.22733,30.46079,31.05667,33.38206,709.1865,0.3393189,1675.035,0.1370165,2531.314,0.07390543,5.733058,-6.73271,12.41211,0.02422825,12.20389,3.357601,0.5159133,0.4193167,1.116174,-0.003392638
34.73282,32.22667,33.96548,37.17763,681.2657,0.2085243,1646.53,0.1120516,2603.133,0.06539813,7.580036,-13.16628,21.56439,0.02872532,21.50958,4.948525,0.4747671,0.5949828,1.190328,-0.004787052
29.25424,28.32933,29.44743,30.63999,624.0502,0.2708291,1488.602,0.1159556,2495.383,0.07187451,5.123435,-13.86477,27.99539,0.03512005,26.90628,7.534485,0.7782887,0.5757731,1.78727,-0.007443256
32.39172,26.17585,27.77141,39.76236,860.5346,0.2587644,1657.003,0.1238246,2509.668,0.05605315,2.18894,-3.331708,16.3899,0.05677835,13.48543,7.63529,0.9295292,0.498786,1.879123,-0.00722917
32.44283,30.24392,31.99147,35.34401,653.1564,0.2612997,1656.668,0.1702647,2669.598,0.08265852,8.470981,-24.05318,34.92896,0.04080172,35.70308,5.034185,0.638976,0.5859607,1.023105,0.003006373
37.79484,36.47427,37.40435,39.87949,745.4658,0.1742398,1719.634,0.1091599,2588.277,0.06292349,8.440237,-12.03235,18.61642,0.02327264,19.74499,16.23885,1.987181,0.4293141,1.053992,-0.02239319
23.6381,20.65867,23.09791,27.59335,579.7971,0.2497864,1546.479,0.131163,2466.627,0.06968509,3.127803,-16.31883,23.5469,0.04489288,22.21735,5.958588,0.6428342,0.4585085,1.349048,-0.01303413
28.56092,25.57442,28.14398,31.88212,540.1227,0.3535717,1474.901,0.1639461,2418.831,0.08883635,6.568951,-14.83723,24.72211,0.03113046,25.12368,7.129401,0.779619,0.4905582,1.044878,-0.0009752651
29.24675,26.85967,28.47408,31.12822,606.6527,0.2790413,1549.705,0.1190462,2501.688,0.06371082,5.240605,-14.36858,22.86933,0.03159418,22.89399,8.01538,1.084431,0.5212377,0.9985566,0.002321935
32.73645,29.6608,31.56973,33.79597,706.824,0.2369398,1618.965,0.1194383,2526.356,0.04729717,4.812004,-10.17261,18.28981,0.04511636,18.47957,17.44774,1.998594,0.503966,1.318464,-0.01657958
30.70344,26.83977,29.47087,36.06213,560.2418,0.2982851,1494.373,0.1383066,2417.24,0.07765968,5.289124,-13.57687,24.33667,0.03551405,24.09349,13.73376,1.455274,0.603897,1.362944,-0.003767404
25.19963,22.76919,24.79166,27.33005,548.4793,0.2361505,1464.693,0.138363,2498.809,0.07838593,4.940649,-22.72775,35.60141,0.03685434,37.61949,7.446651,0.7120872,0.6403974,1.21748,-0.009114486
32.66504,30.14512,32.7478,35.0265,663.0098,0.3295815,1574.681,0.160116,2567.38,0.08785939,7.556464,-13.55973,23.00413,0.02668916,22.18015,5.818056,0.7287937,0.5907022,1.179768,-0.003482878
19.56452,18.70579,19.48289,20.37897,470.4785,0.2814801,1386.377,0.1349076,2407.219,0.05817061,3.045148,-19.18207,28.39765,0.02175957,30.1718,3.749416,0.658548,0.5077404,1.542969,0.0003594445
22.31281,21.78176,22.29183,22.85926,546.8687,0.2390502,1478.535,0.1104617,2434.854,0.06112741,3.279837,-17.81104,29.02166,0.02466918,23.30375,4.221271,0.799698,0.2825557,1.423206,-0.01227262
37.38435,34.15682,35.61163,36.58291,855.5541,0.1829163,1718.547,0.09102834,2596.325,0.0596007,3.88574,3.398312,10.95703,0.03377204,5.786553,1.876786,0.3077846,0.3923209,1.423829,0.01222129
24.80631,23.57639,24.6651,26.12129,484.1834,0.2908576,1454.467,0.1410668,2421.291,0.05696072,4.474182,-13.35607,18.51094,0.02158436,17.85852,6.201446,0.7647828,0.5007979,1.321768,-0.01046569
31.63412,30.13941,31.6997,32.97031,612.5706,0.3025384,1552.471,0.1118467,2520.422,0.06620418,5.464324,-8.636722,15.79933,0.0270446,14.04664,7.834456,0.7920799,0.5622627,1.473045,-0.005397801
26.56654,23.25742,24.32204,31.50872,609.5593,0.3168568,1531.786,0.1169581,2449.939,0.06857164,3.209932,-9.644576,18.53464,0.07217807,15.06674,3.181381,0.6977296,0.5167736,1.727737,-0.005423746
26.76429,25.71542,26.91742,27.71444,555.4222,0.2637377,1489.929,0.07767227,2432.022,0.05447295,3.539496,-7.427864,18.03329,0.0176341,8.727272,5.335303,0.8298836,0.349777,1.162522,-0.01075619
25.27627,23.16593,24.30301,26.24372,560.5624,0.3170944,1481.653,0.1193208,2416.228,0.0623846,3.606713,-12.27711,21.14384,0.03566312,18.68445,7.754179,0.8742706,0.586913,1.612214,-0.006450233
26.45568,24.26656,25.51983,28.40974,551.2806,0.2469133,1522.544,0.1052911,2433.922,0.08081786,4.441363,-12.93673,23.32488,0.03576872,21.57424,13.88307,1.800687,0.4104716,1.518615,-0.01842254
34.96526,33.9936,35.19748,35.96693,687.9579,0.3007099,1576.081,0.1135422,2416.904,0.05541296,7.744464,-6.494712,14.90468,0.01750759,12.03143,6.869734,1.050825,0.5654606,0.9076254,0.001778118
37.14061,33.81551,35.86425,39.77179,710.4309,0.3359337,1603.65,0.1235542,2488.142,0.05886187,3.510182,0.602981,9.208693,0.02533439,4.643822,7.945045,1.148749,0.4966105,1.781016,-0.0003520837
23.65445,21.98078,22.95746,23.9798,498.8334,0.3480534,1455.816,0.1508949,2397.496,0.08054212,5.321794,-18.54857,25.70981,0.04340335,28.22803,5.144893,0.6194648,0.5752103,1.086647,0.01009916
29.89354,26.59831,29.55739,32.64631,615.5226,0.3311631,1549.218,0.1426668,2454.546,0.09037387,4.876898,-8.427418,17.45547,0.02716144,15.66829,7.195356,0.709289,0.4915304,1.305876,0.001833158
25.67694,23.47527,25.0201,27.35415,566.7003,0.3317269,1491.198,0.1500527,2420.101,0.07525755,5.305791,-12.69637,21.94935,0.0220704,19.45798,16.08038,2.140309,0.7039779,1.324035,-0.01614783
26.57928,25.81952,27.42775,27.95303,590.9821,0.244588,1517.435,0.1408533,2605.245,0.11231,7.148767,-21.21692,35.29381,0.02853199,38.28637,3.303185,0.4584846,0.5647563,1.027288,-0.007242491
29.56363,27.17269,30.10182,31.72838,601.533,0.3341253,1532.632,0.1372876,2477.914,0.05866836,6.245509,-14.05773,22.38809,0.0336719,23.35679,18.46042,2.16859,0.3987746,1.349666,-0.00172196
27.06133,24.82504,26.86436,29.08622,590.3394,0.2783185,1512.721,0.1317624,2466.698,0.08144275,4.88543,-10.20852,21.51362,0.02948503,21.37793,2.688711,0.3864924,0.3138057,1.100469,-0.00190833
25.92343,24.37232,26.07616,27.35015,481.0414,0.25605,1395.995,0.1178382,2406.082,0.06618328,6.06446,-15.53945,25.65751,0.02530531,27.61933,6.1654,0.7870595,0.4932843,1.18609,0.001715461
19.54995,18.41257,19.50338,20.73349,563.6808,0.1998418,1503.228,0.1062222,2485.711,0.06102966,2.631818,-15.58432,25.82218,0.02730974,25.85046,5.165714,0.6382073,0.5404979,1.461877,-0.0123096
19.00538,17.62901,18.11104,19.55736,557.6641,0.284129,1500.334,0.1319237,2416.246,0.07071893,2.805797,-18.00191,25.92194,0.02218812,26.93171,9.715261,0.9130197,0.3478931,0.9080494,-0.002241339
25.19963,22.76919,24.79166,27.33005,548.4793,0.2361505,1464.693,0.138363,2498.809,0.07838593,4.940649,-22.72775,35.60141,0.03685434,37.61949,7.446651,0.7120872,0.6403974,1.21748,-0.009114486
29.25787,27.40699,29.20037,30.95296,575.8742,0.25679,1517.005,0.1141561,2451.073,0.09229269,6.971722,-19.07336,32.34315,0.02210285,30.79075,4.15686,0.4546998,0.4861037,1.131361,-0.004587609
39.63195,37.36103,39.95785,42.45576,747.0394,0.164114,1741.059,0.09922103,2672.32,0.06075773,10.02296,-12.19853,19.18963,0.01991261,16.81587,18.73373,1.18899,0.6179203,1.026191,-0.001301405
34.01542,32.73174,33.72784,35.34482,710.1526,0.1743571,1646.582,0.1102117,2608.717,0.07993638,7.091551,-9.949409,21.96246,0.02259895,19.25114,7.394907,0.8127232,0.5869998,0.9881196,-0.007618582
34.72938,31.49623,33.62814,37.65527,703.6435,0.2182744,1654.306,0.1327885,2538.312,0.10065,7.821525,-13.65086,24.56756,0.02953117,21.05601,7.176542,0.5673554,0.6097757,1.074596,0.003681809
29.4603,23.09076,34.59254,37.95237,701.4333,0.1683612,1635.592,0.1281495,2522.567,0.07136729,1.357003,-11.99448,19.3413,0.01579341,16.92473,15.76865,2.713097,0.2444655,1.039466,-0.02566923
37.3791,34.83567,38.06493,39.79444,721.8896,0.2816996,1584.214,0.09646478,2483.621,0.06451622,7.724337,-6.381817,16.27851,0.02122457,14.35468,11.29472,1.73006,0.3932766,0.92843,-0.01931274
35.09164,32.70862,34.91295,37.65273,742.8363,0.1793532,1655.744,0.111361,2526.909,0.06711742,7.782405,-11.62964,20.12407,0.02685533,19.31925,9.089321,0.872897,0.6014524,1.17819,0.0006053696
37.35781,36.4343,37.1885,38.05085,637.8281,0.2197046,1600.179,0.1009396,2498.604,0.07208139,8.191873,-8.713133,15.30463,0.01942726,15.9436,25.59459,2.781327,0.4868129,1.089999,-0.02187476
33.87284,31.61254,33.93726,36.27357,639.1206,0.2336938,1614.716,0.1370754,2577.197,0.07552743,7.515506,-14.80326,25.33244,0.02868314,23.63462,9.497031,0.8259904,0.6300601,1.216964,-0.01158621
38.83234,33.76956,37.79943,41.7729,737.0142,0.2567353,1636.502,0.1312332,2561.46,0.07370049,7.61908,-8.357268,17.32159,0.03419996,15.45076,13.88062,1.187826,0.676798,1.12332,-0.0007126897
41.00831,38.6619,40.78684,43.76062,795.1027,0.1282189,1726.331,0.07951698,2596.098,0.05243857,9.03862,-10.52496,19.64601,0.0177803,18.48765,7.077159,1.024021,0.5223295,1.080314,-0.01012676
30.52388,28.72377,29.65774,31.42945,671.1766,0.2583502,1606.485,0.1697055,2668.717,0.09047277,7.281555,-20.96711,31.41463,0.02738952,31.44322,9.968985,1.371979,0.5677124,0.9757648,-0.02339322
37.82604,34.7199,37.63697,40.26318,707.7516,0.179644,1700.264,0.09894749,2679.177,0.07357512,10.02977,-12.8561,23.42295,0.01952193,19.81099,13.75553,1.378603,0.6246369,0.9186118,-0.01447099
43.69229,35.68414,41.3037,54.35604,960.1585,0.1775519,1809.204,0.08651858,2625.104,0.04315863,1.64906,3.279506,2.648967,0.04843739,-1.393183,9.763591,1.27131,0.7797403,1.561292,0.008893174
37.1383,35.23495,36.69334,39.49586,722.0139,0.2463566,1663.045,0.1443824,2607.378,0.09869657,8.575603,-18.8341,31.23677,0.02136428,30.3051,12.78807,1.708349,0.4904577,1.032246,-0.03204419
32.83427,29.72169,35.16942,37.92913,664.5394,0.2507199,1591.893,0.1091014,2561.008,0.07405654,4.269275,-8.401138,19.82689,0.03283193,6.8087,3.575346,0.5158193,0.4745972,1.15362,0.01167738
39.96725,37.66229,39.66296,41.71162,767.4587,0.2080604,1728.906,0.1022537,2627.234,0.05129806,7.181489,-7.118738,13.17536,0.03329025,9.64533,17.413,2.181827,0.5474196,1.007282,-0.01755935
34.24363,32.87045,33.8102,35.32063,636.4958,0.2185074,1608.791,0.1121974,2588.29,0.07653877,9.311933,-13.78336,25.40708,0.01520535,21.78602,7.293245,0.7680702,0.6881204,0.9587844,-0.003234752
36.30628,32.80185,35.25308,39.34282,677.0228,0.2065079,1639.742,0.1144842,2558.315,0.06909645,5.942669,-9.97291,16.84079,0.02966098,14.54097,14.54899,1.567926,0.5640146,1.322303,-0.02047059
34.04221,33.23011,33.90157,34.80755,586.5468,0.2823779,1572.171,0.1064668,2525.943,0.06060518,7.861346,-10.81687,17.98196,0.01809791,18.21116,6.778543,0.642113,0.6039848,1.043684,-0.002957331
37.3487,33.62176,36.21854,40.85695,657.4721,0.268651,1638.335,0.1142002,2594.154,0.06903652,8.454054,-7.525227,14.17292,0.02801391,12.37593,8.891444,0.8694311,0.8422806,1.092478,0.006334774
42.95633,40.97064,42.28241,44.67162,739.6492,0.2373779,1633.766,0.08656728,2505.57,0.07343239,7.427969,-4.309715,10.04913,0.01908806,8.0069,29.23161,3.381706,0.4163672,1.07163,-0.02051157
35.91159,36.10937,38.43534,39.57318,610.9019,0.1970019,1573.605,0.08983131,2497.219,0.05847206,6.247117,-8.764597,18.2843,0.02454254,14.20581,17.83982,2.834367,0.4179681,1.075064,-0.02409185
34.12126,32.67316,33.88367,36.74773,718.9863,0.2352339,1604.549,0.08817283,2502.058,0.06478687,2.636391,-8.951068,18.20516,0.03684094,19.32694,7.218208,1.002228,0.3131892,1.66906,-0.01807834
37.47883,35.90324,37.34415,39.32047,742.1163,0.1566659,1695.735,0.08749239,2604.491,0.05645656,5.932206,-8.020274,14.99105,0.02470266,12.61555,8.834112,1.039633,0.4977512,1.152138,-0.01235283
32.59163,31.53202,33.26825,35.95162,667.3135,0.2276645,1605.194,0.09668583,2509.403,0.06871494,3.90825,-6.370772,16.82807,0.02507116,13.97556,9.585546,1.095598,0.5395672,1.213271,-0.003114256
37.04591,35.40362,36.89888,38.38334,728.3967,0.2096874,1587.316,0.09568822,2492.324,0.07687721,6.363908,-3.287977,11.30222,0.02091389,7.357804,11.17169,1.667778,0.4995345,0.9748463,-0.01734642
42.56975,40.62819,42.30472,44.35621,756.7567,0.251331,1631.694,0.09292284,2549.528,0.07088732,6.699327,0.6873484,9.872691,0.02121056,6.425994,8.492555,1.298385,0.5314952,1.084457,0.004286671
36.20727,35.15332,35.8739,37.67072,641.7592,0.2046916,1594.683,0.1298748,2461.982,0.0914055,7.818362,-11.89362,24.71598,0.01401844,18.33378,10.92761,1.61058,0.5592207,0.8850493,-0.01135629
35.84369,31.39119,35.95349,43.51491,694.684,0.2706455,1693.28,0.1376533,2662.075,0.08454069,8.530959,-16.77871,25.9372,0.04256693,21.40965,6.236791,0.9024588,0.7599782,1.388894,0.003618821
31.57191,30.98692,31.57483,32.36487,682.6588,0.2266874,1660.414,0.107673,2589.605,0.07734846,8.19873,-15.9163,25.01463,0.03292662,23.68497,6.092317,0.594193,0.4714663,1.100433,-0.001102076
34.14025,31.87217,33.83085,36.65722,724.0375,0.2222955,1647.612,0.1150802,2595.255,0.07257634,4.952077,-12.9179,24.2427,0.03399857,22.85209,5.014182,0.6529879,0.4827251,1.447839,-0.01718051
29.71229,27.69991,29.02954,31.92689,713.0209,0.1437984,1696.146,0.08014908,2726.565,0.06305128,6.629235,-18.92492,27.63222,0.02890797,31.99453,8.860676,0.8161868,0.6172617,1.358969,-0.01268768
34.26165,32.18822,34.20072,36.19857,783.1211,0.1448215,1732.937,0.09165604,2651.65,0.06973855,7.856098,-13.24868,23.64986,0.02480203,22.43362,16.37376,1.634802,0.5118467,1.057603,-0.01957481
33.11349,30.86834,31.93183,35.44711,692.441,0.2235579,1646.87,0.1288805,2538.791,0.06780021,6.95653,-9.601382,17.98107,0.02771797,16.57352,8.910282,1.040815,0.5321223,1.081558,-0.005930798
36.47797,30.60524,35.49435,42.02521,729.7951,0.2939388,1620.626,0.1146126,2523.438,0.071336,6.648359,-6.966441,16.30427,0.02768541,13.30472,7.950659,0.8689861,0.73369,1.159239,-0.0004881927
39.21063,35.97024,38.57749,42.11833,796.0901,0.2910804,1650.632,0.1162904,2550.139,0.06807177,6.294544,-2.800365,9.136724,0.02829754,9.146504,11.84103,1.381529,0.6207985,1.277355,-0.008873583
35.02347,33.27585,35.89517,38.87674,645.9337,0.2665536,1611.618,0.1489703,2568.731,0.09238067,7.525926,-15.33312,25.47998,0.03345401,18.61695,7.152146,0.7454864,0.7586257,1.190339,-0.00216663
39.51673,36.22241,40.17018,41.69871,766.5838,0.1497812,1747.479,0.09519751,2580.416,0.06188971,9.752036,-10.89603,18.11204,0.02645374,17.02036,9.765866,1.416491,0.6752058,0.8611017,-0.007725677
34.66465,32.09976,34.32055,37.13384,634.6315,0.275196,1688.728,0.1261945,2593.625,0.06466262,5.805851,-6.198215,10.52692,0.02911305,10.96601,8.929456,0.8972327,0.6205577,1.142039,-0.007642737
41.52076,39.84521,41.88618,43.66681,742.0473,0.2128619,1654.969,0.1208878,2583.555,0.06598105,10.54171,-7.891062,18.96129,0.01077817,16.57385,2.801883,0.4485085,0.3603583,0.7472325,-0.003742521
38.61171,34.91508,37.48334,42.84977,746.6099,0.2341218,1650.626,0.1053608,2567.654,0.06355286,7.553278,-8.105793,17.6108,0.02955683,16.03517,9.187529,1.040439,0.6494408,1.208239,0.0004277258
35.47264,33.02159,34.80677,38.42142,699.9968,0.2367543,1785.866,0.1661585,2732.253,0.08592043,10.58209,-25.53374,33.51986,0.02267749,34.03301,1.835408,0.241576,0.5958503,0.8040552,-0.006188352
36.32911,34.18079,36.11795,38.22683,691.1443,0.1921431,1653.462,0.0776252,2543.491,0.06684316,7.863232,-5.579629,15.38739,0.02131682,12.01647,6.949868,0.8834292,0.4853166,0.9682039,-0.0003198193
34.51212,26.10908,34.05369,45.23474,635.4797,0.2384045,1511.34,0.10445,2508.468,0.07772914,4.669287,-10.34088,20.03473,0.03200859,18.54474,11.58189,2.606195,0.5473411,1.205003,-0.0226518
41.43576,39.4027,41.39578,43.78715,719.1465,0.2462196,1676.65,0.1004379,2579.148,0.05828387,8.339793,-6.171348,12.44876,0.02605286,10.64419,11.8572,1.278248,0.7386822,1.021107,-0.005011314
33.36546,32.12038,33.25409,34.5447,556.4352,0.1807314,1573.043,0.08781831,2506.659,0.06171006,4.978081,-10.806,16.27526,0.01564041,13.46426,7.976346,1.315547,0.3534718,1.120871,-0.02007135
31.73204,27.69662,30.28337,36.52053,742.662,0.1719324,1663.499,0.100101,2577.993,0.05988642,5.776257,-10.91756,20.83362,0.0318609,22.66991,3.873288,0.4012967,0.6157156,1.294041,0.001460648
31.61962,30.59278,31.40682,32.53999,679.1949,0.2038299,1701.994,0.1588599,2566.477,0.07111157,7.36729,-12.61413,19.13798,0.01746316,14.98235,5.953716,0.7185587,0.5955095,1.066909,-0.009758297
23.87588,22.56903,23.39117,25.63018,599.3808,0.3981989,1531.323,0.1702171,2495.806,0.09388645,3.327156,-13.93019,23.56319,0.02460413,24.44024,4.354244,0.3523812,0.8295633,1.576116,0.01728344
25.76957,23.62832,24.1475,25.71011,680.5365,0.407407,1587.508,0.2194562,2470.062,0.08834766,3.08494,-5.80037,15.57397,0.05550267,9.869509,10.47276,1.339288,0.4393299,1.626928,-0.01089045
37.15461,36.20341,37.71492,38.22584,694.2563,0.2331975,1611.483,0.1032364,2540.517,0.06698387,6.491343,-7.506716,13.91879,0.02271539,15.36971,10.10649,1.636964,0.3876493,0.9313222,-0.01772443
